Piece_1,Bach | Cello Suite No. 1 in G Major,Bach | Cello Suite No. 2 in D Minor,Bach | Cello Suite No. 3 in C Major,Bach | Cello Suite No. 4 in E-flat Major,Bach | Cello Suite No. 5 in C Minor,Bach | Cello Suite No. 6 in D Major,Chopin | Waltz Op. 34 No. 1 in A-flat Major,Chopin | Waltz Op. 34 No. 2 in A Minor,Chopin | Waltz Op. 34 No. 3 in F Major,Chopin | Waltz Op. 42 in A Major,Chopin | Waltz Op. 64 No. 1 'Minute Waltz',Chopin | Waltz Op. 64 No. 2 in C Minor,Chopin | Waltz Op. 64 No. 3 in A-flat Major,Chopin | Étude Op. 10 No. 1 'Waterfall',Chopin | Étude Op. 10 No. 10,Chopin | Étude Op. 10 No. 2 'Chromatic',Chopin | Étude Op. 10 No. 4 'Torrent',Chopin | Étude Op. 10 No. 5 'Black Keys',Chopin | Étude Op. 10 No. 6 'Lament',Chopin | Étude Op. 10 No. 7 'Toccata',Chopin | Étude Op. 10 No. 8 'Sunshine',Chopin | Étude Op. 10 No. 9,Chopin | Étude Op. 25 No. 11 'Winter Wind',Chopin | Étude Op. 25 No. 12 'Ocean',Chopin | Étude Op. 25 No. 2 'The Bees',Chopin | Étude Op. 25 No. 9 'Butterfly',"Mozart | Piano Sonata No. 10 in C Major, K. 330 (1st movement)","Mozart | Piano Sonata No. 11 in A Major, K. 331 'Rondo Alla Turca'",Ysaÿe | Violin Sonata No. 1 in G Minor,Ysaÿe | Violin Sonata No. 2 in A Minor,Ysaÿe | Violin Sonata No. 3 in D Minor,Ysaÿe | Violin Sonata No. 4 in E Minor,Ysaÿe | Violin Sonata No. 5 in G Major,Ysaÿe | Violin Sonata No. 6 in E Major
Chopin | Étude Op. 10 No. 9,0.09800058720633055,0.0756018854793339,0.03148738784645731,0.016509950775185994,0.04449221565698197,0.008815947534378228,0.2691446857049096,0.37915091782865085,0.6022791264515773,0.2486970987421897,0.7919322416124848,0.4918277759133817,0.4039438996088086,0.13539996875483096,0.3406082316124156,0.4317747475851602,0.4633192471715036,0.40924808353961767,0.5805495359938395,0.4633192471715036,0.45667379721074697,0.4935745686990334,0.11688830828736786,0.2691446857049096,0.4202388860436544,0.6494924972650576,0.31838865136869876,0.7488446483769058,0.04959214756287714,0.09712600151880596,0.14886531843983514,0.09453844842745733,0.10246726072567365,0.18350109069827825
Chopin | Étude Op. 25 No. 11 'Winter Wind',0.727030642938702,0.6229759554190559,0.5105015592068649,0.4539339697521429,0.5235289802746321,0.434798126432597,0.4125661126227042,0.29696309741169624,0.15125691909996325,0.43937990022139267,0.12866766338740626,0.21282145178069667,0.276061637346845,0.6876813555992373,0.3327848401097432,0.2543395824145523,0.23169195157702313,0.2717859355736051,0.16211662185363832,0.23169195157702313,0.2363013252347551,0.11688830828736786,0.7019927700540479,0.4125661126227042,0.2631331209244359,0.10474625760588306,0.35554110727668614,0.14572261788334867,0.5157646737510276,0.6778538773142054,0.7937773198013263,0.6945137580499224,0.7627297118494624,0.5407525015097111
Chopin | Étude Op. 25 No. 12 'Ocean',0.37952282293985207,0.3709298248869072,0.28993271060439124,0.23695831266985956,0.28591213195300125,0.22349797106400762,0.8683513460846519,0.5187150959679528,0.3167770519144195,0.825495529231184,0.2854700053082049,0.4021009651256965,0.48974720996432136,0.4449514997592761,0.5683613960689422,0.4596420398426684,0.42825408960769323,0.48382140185481887,0.33182780102121523,0.42825408960769323,0.4346423424020452,0.2691446857049096,0.4125661126227042,0.7216013521488063,0.47182923730794113,0.25231669670795653,0.5998999082644957,0.3091069175670949,0.2948342526581032,0.3779927713205295,0.5054462983967115,0.37346595381828285,0.38733708419377094,0.5690398505034812
Chopin | Étude Op. 25 No. 2 'The Bees',0.2372439325449073,0.20654228219867904,0.14607503288968574,0.12554562713887907,0.16390060515356392,0.11499954281037014,0.47182923730794113,0.6226135513156787,0.48103376504361134,0.4438019581823445,0.44107547067924635,0.5899357027862457,0.8072793485495194,0.2885068472201497,0.5697835216988725,0.8202125636735725,0.869029314226831,0.7397948886845457,0.5002435701324811,0.7871248306449504,0.8749791153306689,0.4202388860436544,0.2631331209244359,0.47182923730794113,0.5352911799450911,0.3987607266261172,0.5393273911696491,0.4712441004380787,0.17089102486952662,0.23604514770891674,0.30696365167504464,0.23249841758003895,0.24336635206158586,0.3544385179557383
Chopin | Étude Op. 25 No. 9 'Butterfly',0.0864398369433024,0.06473049178986613,0.021973689763779343,0.007457207743653821,0.03457827279009846,0.0,0.25231669670795653,0.3589373076393895,0.5751983817633737,0.23249841758003895,0.6226135513156787,0.4681463516625927,0.38296724497274726,0.12268819153355366,0.3215808354470596,0.40994155321594394,0.44051521938459354,0.40958372076436744,0.5809688778179918,0.44051521938459354,0.43407429398381153,0.6494924972650576,0.10474625760588306,0.25231669670795653,0.3987607266261172,0.4825679773708483,0.3000450990211432,0.5863469835407369,0.039521245974595845,0.08559216805658992,0.1357391231226439,0.08308425113142179,0.09076904130081469,0.16930892300564698
"Mozart | Piano Sonata No. 10 in C Major, K. 330 (1st movement)",0.3252278885134588,0.289279838319918,0.21847974488155059,0.1944422061808263,0.23935141006059218,0.1820939719813209,0.7650826591697187,0.6524408398877898,0.370310886590049,0.6664616689090271,0.336184262881628,0.4633192471715036,0.5588590933500994,0.3852507800854493,0.6445534349812772,0.593015593391137,0.4918277759133817,0.5523995947565413,0.38671713716226075,0.4918277759133817,0.4987913679126296,0.31838865136869876,0.35554110727668614,0.5998999082644957,0.5393273911696491,0.3000450990211432,0.7583538324521254,0.3619499641448056,0.24753637588456195,0.3238242513483728,0.40686154450608053,0.3548070265713107,0.3323965273849687,0.4624490734090562
"Mozart | Piano Sonata No. 11 in A Major, K. 331 'Rondo Alla Turca'",0.1254544548428975,0.10141870502695029,0.05408002257634957,0.03800793345632352,0.0680353308555118,0.029751600601270207,0.3091069175670949,0.4271531465739487,0.7908288744149466,0.2871648831328671,0.6403969918141365,0.5480651888869797,0.45375816656673523,0.16558723526594565,0.3857935010722001,0.4836230804924827,0.5174730647178079,0.4594500160092873,0.7644430159525928,0.7476354785865025,0.5103419204837373,0.7488446483769058,0.14572261788334867,0.3091069175670949,0.4712441004380787,0.5863469835407369,0.3619499641448056,0.5830226909539697,0.07350800015851518,0.12451594853864077,0.18003672346208147,0.12173927962732736,0.13024758296831232,0.21720391140149106
Ysaÿe | Violin Sonata No. 1 in G Minor,0.5945973857234671,0.6817316444300952,0.6900954399180221,0.6127158927945844,0.8142884166695384,0.5745798187286468,0.2948342526581032,0.19895040074221948,0.0780982793769523,0.3170742369242904,0.059362220930039115,0.1291613465820362,0.18161423958737521,0.5230212871330691,0.22866179422066019,0.16359745780504042,0.14481298166047307,0.1780678722637071,0.08710557152052915,0.14481298166047307,0.14863610427034818,0.04959214756287714,0.5157646737510276,0.2948342526581032,0.17089102486952662,0.039521245974595845,0.24753637588456195,0.07350800015851518,0.6750517629598,0.5964513993277241,0.5004907600363355,0.5827002217199874,0.5458662538383356,0.40115504980374106
Ysaÿe | Violin Sonata No. 2 in A Minor,0.8104909998557602,0.7078646884488117,0.5480899749538369,0.49062190405000183,0.5675313631776604,0.4535227695394365,0.3779927713205295,0.26818051965475587,0.12977302662508855,0.40346340793433466,0.1083153074754447,0.1882536808198132,0.24832605142454497,0.6638446546808494,0.30220788664933185,0.22769209340391042,0.20617892324459564,0.24426452726521558,0.14008874728017148,0.20617892324459564,0.21055740506187828,0.09712600151880596,0.6778538773142054,0.3779927713205295,0.23604514770891674,0.08559216805658992,0.3238242513483728,0.12451594853864077,0.5964513993277241,0.799164073032418,0.5882066487851945,0.8534830765157296,0.9136810100641252,0.49975807277822326
Ysaÿe | Violin Sonata No. 3 in D Minor,0.6156033268475573,0.5623404646684781,0.41567319153596494,0.3820812908512597,0.4666021321890835,0.3648249210529338,0.46850857413651276,0.3435356353206822,0.1860195941170545,0.4974956886237524,0.16159942075991782,0.25257409152260224,0.32094005781711693,0.788244674745449,0.3822608229838943,0.29745737410811046,0.2729740941710269,0.31631779934810955,0.19775950388771182,0.2729740941710269,0.2779570694944265,0.14886531843983514,0.7937773198013263,0.5054462983967115,0.30696365167504464,0.1357391231226439,0.40686154450608053,0.18003672346208147,0.5004907600363355,0.5882066487851945,0.26133032952441454,0.5570862353714079,0.574869242838035,0.7005409556020867
Ysaÿe | Violin Sonata No. 4 in E Minor,0.869408997996598,0.7343774794827157,0.5350996234054196,0.49572130648886203,0.5920788248817371,0.458606188060146,0.40569859786470786,0.26441190858499813,0.12696005984754627,0.3987607266261173,0.10565049703236419,0.1850369302429774,0.24469452693025973,0.6329957774752709,0.29820433122551,0.22420303752730336,0.20283840656785546,0.2406610458507925,0.13720455488219258,0.20283840656785546,0.2071866568487836,0.09453844842745733,0.6945137580499224,0.37346595381828285,0.23249841758003895,0.08308425113142179,0.3548070265713107,0.12173927962732736,0.5827002217199874,0.8534830765157296,0.5570862353714079,0.6444501260815076,0.7934205567881081,0.49439051816860763
Ysaÿe | Violin Sonata No. 5 in G Major,0.8033840644799888,0.6751233369217264,0.5189145422587682,0.4803204203884396,0.5524256100758885,0.4432484008001195,0.38733708419377094,0.27595973339948965,0.13557958756074445,0.4131707410586146,0.11381604226664553,0.194893737285579,0.2558222893587229,0.7269972656911272,0.31047207544576316,0.234894245849212,0.21307445922992094,0.2517028783258822,0.1460423330255576,0.21307445922992094,0.21751534535976846,0.10246726072567365,0.7627297118494624,0.38733708419377094,0.24336635206158586,0.09076904130081469,0.3323965273849687,0.13024758296831232,0.5458662538383356,0.9136810100641252,0.574869242838035,0.7934205567881081,0.8852243373226776,0.5108378456233986
Ysaÿe | Violin Sonata No. 6 in E Major,0.5290091132628398,0.48090978191080586,0.38617760212045726,0.35401481352333847,0.3905758802007142,0.337492587556233,0.5690398505034812,0.39398049582584355,0.2236726482720673,0.5988874758277799,0.19726932369912684,0.29563200626221187,0.369549941709187,0.6696581927527752,0.4358505384363725,0.34416023989401157,0.3176886838843546,0.36455231172383085,0.2363659507969287,0.3176886838843546,0.3230763243764406,0.18350109069827825,0.5407525015097111,0.5690398505034812,0.3544385179557383,0.16930892300564698,0.4624490734090562,0.21720391140149106,0.40115504980374106,0.49975807277822326,0.7005409556020867,0.49439051816860763,0.5108378456233986,0.5644705102161601
